type,sku,name,featured,short_description,regular_price,currency,category_ids,Images,description,optionLists
simple,67665600,"Sakoon Special Samosa",0,"Potato and peas in pastry shell.",8,USD,Appetizers,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/4b3b55a2-4537-44ab-b033-0ebd806cbfaf-retina-large.jpg,","Potato and peas in pastry shell.",[]
simple,108753620,"Lemon Fish Tikka",0,"Fish marinated with lemon sauce & spices then cooked in clay oven ",13,USD,Appetizers,",","Fish marinated with lemon sauce & spices then cooked in clay oven ",[]
simple,67665605,"Mint Murgh Tikka",0,"Chicken cubes marinated in fresh mint,hang curd finished in the clay oven",13,USD,Appetizers,",","Chicken cubes marinated in fresh mint,hang curd finished in the clay oven",[]
simple,67665608,"Tandoori Triple Play",0,"Combination of triple grilled delicacy, achari chicken tikka, reshmi
sheekh kabab & fish tikka",14,USD,Appetizers,",","Combination of triple grilled delicacy, achari chicken tikka, reshmi
sheekh kabab & fish tikka",[]
simple,171799690,"Chaat Papadi",0,"Homemade crispy wafers served with sweet yogurt, potato in a
tangy sauce
",9,USD,Appetizers,",","Homemade crispy wafers served with sweet yogurt, potato in a
tangy sauce
",[]
simple,67665596,"Avocado Jhalmuri",0,"Rice puffs and avocado layered with mix of onion, tomato, mint &
tamarind bouquet
",9,USD,Appetizers,",","Rice puffs and avocado layered with mix of onion, tomato, mint &
tamarind bouquet
",[]
simple,67665601,"Lasooni Gobi",0,"Cauliflower tossed with garlic flakes, served in roasted garlic
tomato sauce",9,USD,Appetizers,",","Cauliflower tossed with garlic flakes, served in roasted garlic
tomato sauce",[]
simple,67665606,"Basil  Seekh Kebab",0,"Spices ground chicken kebab with fresh basil baked in the clay oven.",13,USD,Appetizers,",","Spices ground chicken kebab with fresh basil baked in the clay oven.",[]
simple,67665607,"Amritsari  Fish",0,"Deep fried fish coated with gram flour and served with mint chutney",12,USD,Appetizers,",","Deep fried fish coated with gram flour and served with mint chutney",[]
simple,67665603,"Dahi Ke Kabab",0,"Paneer and Potatoes medaillon flavored with mint, seasoned with
spices",9,USD,Appetizers,",","Paneer and Potatoes medaillon flavored with mint, seasoned with
spices",[]
simple,8990272189,"Panch Poran Paneer Tikka",0,"Cottage cheese marinated with pickle based spices
",13,USD,Appetizers,",","Cottage cheese marinated with pickle based spices
",[]
simple,67665602,"Delhi Ki Aloo Chat",0,"Grilled seasoned potato medallions served with chana pindi &
chutney",9,USD,Appetizers,",","Grilled seasoned potato medallions served with chana pindi &
chutney",[]
simple,67665645,"Butter Chicken",0,"Butter infused tomato sauce chicken, finished with fenugreek cream",18,USD,"Meat Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/4bf30fae-0567-421e-9ef5-0d34c28774c5-retina-large.jpg,https://img.cdn4dd.com/u/media/bd037f7c-3754-4b17-84d2-834b04d66e0e.png","Butter infused tomato sauce chicken, finished with fenugreek cream","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665646,"Chicken Tikka Masala",0,"Oven grilled chicken breast (boneless) cooked in a creamy tomato sauce with onion & bell peppers",18,USD,"Meat Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/c07deef8-5609-4923-9f05-f101ad0a20aa-retina-large.jpg,","Oven grilled chicken breast (boneless) cooked in a creamy tomato sauce with onion & bell peppers","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665648,"Murgh Chettinad",0,"Chicken spicy in a peppercorn & fennel chettinad sauce",18,USD,"Meat Entrées",",","Chicken spicy in a peppercorn & fennel chettinad sauce","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665642,"Classic Chicken Curry",0,"cubes of chicken cooked in onion and tomato sauce with a hint of cream",18,USD,"Meat Entrées","https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/e0eda674-4238-401d-a0f9-637c1649be73-retina-large.jpg,https://img.cdn4dd.com/u/media/6599bef0-2e30-4a91-9cc3-06203b8b7d7f.jpg","cubes of chicken cooked in onion and tomato sauce with a hint of cream","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
simple,67665649,"Kashmiri Rogan Josh",0,"Gluten free. Kashmiri delicacy of lamb in fennel flavored onion gravy.",20,USD,"Meat Entrées",",","Gluten free. Kashmiri delicacy of lamb in fennel flavored onion gravy.","[{""type"":""rec_product"",""title"":""Recommended Sides And Apps"",""wpc_pro_pao_option_products"":[1544,1545,1546,1547,1548],""title_format"":""label"",""place_holder"":"""",""char_limit"":0,""char_min"":0,""char_max"":0,""position"":0,""desc_enable"":1,""desc"":""Choose up to 5"",""required"":false,""options"":[{""label"":""rec"",""price"":"""",""price_type"":""quantity_based"",""default"":0}]}]"
